n;random-17 - minComparisons;random-17 - maxComparisons;random-17 - averageCnomparisons;random-17 - standCnomparisons;random-17 - minSets;random-17 - maxSets;random-17 - avgSets;random-17 - stdSets;random-n/2 - minComparisons;random-n/2 - maxComparisons;random-n/2 - averageCnomparisons;random-n/2 - standCnomparisons;random-n/2 - minSets;random-n/2 - maxSets;random-n/2 - avgSets;random-n/2 - stdSets;random-bigK - minComparisons;random-bigK - maxComparisons;random-bigK - averageCnomparisons;random-bigK - standCnomparisons;random-bigK - minSets;random-bigK - maxSets;random-bigK - avgSets;random-bigK - stdSets;select-17 - minComparisons;select-17 - maxComparisons;select-17 - averageCnomparisons;select-17 - standCnomparisons;select-17 - minSets;select-17 - maxSets;select-17 - avgSets;select-17 - stdSets;select-n/2 - minComparisons;select-n/2 - maxComparisons;select-n/2 - averageCnomparisons;select-n/2 - standCnomparisons;select-n/2 - minSets;select-n/2 - maxSets;select-n/2 - avgSets;select-n/2 - stdSets;select-bigK - minComparisons;select-bigK - maxComparisons;select-bigK - averageCnomparisons;select-bigK - standCnomparisons;select-bigK - minSets;select-bigK - maxSets;select-bigK - avgSets;select-bigK - stdSets;
100;118;523;232;105;41;376;98;88;150;645;282;121;52;378;138;87;99;497;206;106;77;293;106;59;292;510;371;60;157;303;192;47;196;531;388;79;94;323;192;61;302;563;404;66;163;308;199;54
200;218;1111;471;192;39;817;243;170;300;1358;629;211;144;982;319;147;199;959;444;190;151;557;224;95;720;1043;824;83;368;583;421;67;472;1128;865;122;256;629;443;77;693;1136;877;89;386;583;448;61
300;322;1226;625;218;33;812;281;190;458;2153;937;320;164;1268;454;209;299;1547;746;290;239;866;362;142;1152;1604;1314;103;571;896;676;82;596;1582;1358;180;309;875;694;110;974;1772;1372;112;550;917;709;72
400;476;1622;842;290;81;1251;399;273;683;2314;1286;382;283;1546;618;246;419;2049;945;339;343;1006;502;164;1668;2075;1797;101;813;1160;937;74;945;2165;1857;188;476;1160;954;113;1473;2178;1874;124;775;1146;964;77
500;499;2476;1037;389;18;1962;510;385;862;3330;1643;508;314;2156;822;336;499;3127;1315;475;460;1485;656;213;2038;2601;2303;120;1051;1460;1188;90;1201;2788;2314;281;614;1431;1189;159;1746;2723;2367;144;949;1412;1215;87
600;657;2799;1268;464;67;2206;634;427;1033;3899;2050;575;487;2446;1043;412;640;2896;1528;508;494;1737;764;250;2480;3116;2784;142;1268;1681;1434;100;1235;3239;2854;259;609;1749;1471;147;2239;3287;2836;179;1152;1691;1458;107
700;747;3593;1473;547;57;2644;732;513;1084;4529;2239;652;374;2573;1155;474;813;4442;1836;649;557;1940;895;297;2931;3684;3276;158;1513;2007;1696;111;1746;3730;3332;311;890;2003;1718;178;2945;3703;3338;153;1514;1970;1731;92
800;817;4160;1685;662;38;3374;864;642;1296;4587;2578;596;438;2999;1259;451;894;4638;2033;636;672;2225;998;300;3083;4149;3775;170;1527;2205;1945;116;2086;4293;3863;317;1073;2253;1993;179;2941;4219;3837;212;1559;2201;1982;120
900;946;4258;1901;702;30;3382;929;671;1517;5904;2914;943;536;3262;1399;588;1008;4282;2322;780;861;2942;1190;370;3916;4747;4293;172;2017;2559;2211;120;2186;4801;4299;505;1116;2521;2221;273;3882;4744;4373;175;2029;2470;2259;99
1000;1099;4904;2047;692;79;3456;976;624;1604;6682;3284;963;535;3949;1593;609;1109;5234;2681;920;774;2808;1386;487;4113;5298;4814;187;2062;2876;2475;126;2470;5364;4876;379;1312;2880;2509;207;4509;5347;4914;164;2367;2793;2532;101
1100;1130;4620;2224;765;47;2799;1071;705;1986;6224;3782;1023;744;3736;1926;673;1266;7281;3100;1165;948;3998;1470;511;4799;5794;5304;211;2449;3034;2716;135;2677;5844;5368;442;1351;3077;2751;247;3868;5795;5346;272;2017;2988;2742;146
1200;1231;5006;2420;885;48;3423;1153;820;1902;8060;3941;1212;691;5454;1981;882;1350;6763;3174;1102;995;3293;1561;525;4813;6284;5818;246;2461;3357;2995;161;3149;6415;5913;361;1632;3427;3035;204;5354;6378;5870;222;2776;3316;3021;126
1300;1381;5503;2661;936;73;4107;1314;904;2162;8521;4491;1354;756;5349;2326;958;1697;6716;3564;1127;1084;4966;1732;600;5679;6885;6351;215;2880;3667;3268;150;5910;7030;6496;202;3036;3728;3336;133;5800;7120;6398;242;2953;3677;3290;132
1400;1443;6465;2824;964;64;5101;1377;946;2343;8181;4578;1383;831;4402;2292;906;2006;9276;3623;1231;1195;3098;1782;473;6195;7305;6830;215;3109;3830;3510;145;3620;7416;6942;409;1862;3876;3572;228;5914;7370;6910;263;3029;3816;3555;144
1500;1537;6648;3146;1103;58;5009;1628;1104;2516;10870;5032;1522;853;6141;2599;1030;1672;7670;3679;1285;1324;3785;1934;580;6538;7756;7298;237;3353;4118;3738;162;6539;7926;7458;218;3350;4128;3831;141;6541;7897;7435;264;3391;4126;3813;146
1600;1653;7571;3583;1340;76;6000;1888;1303;2675;11923;5413;1738;932;6386;2705;1076;1983;9689;4334;1434;1279;7130;2200;909;7203;8472;7878;202;3688;4447;4051;140;7442;8421;8027;182;3838;4366;4126;118;7413;8535;7950;229;3872;4473;4082;127
1700;1776;6208;3531;1215;93;4287;1773;1182;2686;11143;5708;1743;927;9171;3005;1247;1985;9715;4858;1642;1539;5471;2355;864;7716;9125;8368;227;3944;4799;4298;160;4445;9132;8466;459;2315;4778;4329;247;7599;9097;8446;265;3890;4661;4338;145
1800;1881;8579;3889;1332;70;6701;2047;1308;1799;10859;6077;1815;901;8073;3089;1320;1986;10181;4623;1632;1658;5613;2220;651;8014;9391;8879;253;4105;4937;4562;168;4613;9534;8986;505;2363;4984;4612;272;8023;9703;8977;250;3992;5048;4606;142
1900;1952;7219;3958;1422;53;5321;1984;1379;2965;11377;6467;1969;1018;8439;3192;1409;1989;10473;4991;1746;1810;5385;2507;781;8241;9956;9309;341;4205;5200;4775;213;4810;10334;9370;713;2492;5428;4801;381;8322;10014;9415;364;4267;5194;4825;197
2000;2093;7767;4011;1287;96;5787;1948;1265;3145;15218;6521;1976;1212;10863;3317;1437;1999;12110;5085;1838;1640;5378;2603;742;8848;10506;9806;336;4471;5467;5013;199;5170;10652;9976;569;2610;5495;5098;307;8698;10522;9937;334;4479;5440;5102;177
