n;k-3 - minComparisons;k-3 - maxComparisons;k-3 - averageCnomparisons;k-3 - standCnomparisons;k-3 - minSets;k-3 - maxSets;k-3 - avgSets;k-3 - stdSets;k-3 - time;k-5 - minComparisons;k-5 - maxComparisons;k-5 - averageCnomparisons;k-5 - standCnomparisons;k-5 - minSets;k-5 - maxSets;k-5 - avgSets;k-5 - stdSets;k-5 - time;k-7 - minComparisons;k-7 - maxComparisons;k-7 - averageCnomparisons;k-7 - standCnomparisons;k-7 - minSets;k-7 - maxSets;k-7 - avgSets;k-7 - stdSets;k-7 - time;k-17 - minComparisons;k-17 - maxComparisons;k-17 - averageCnomparisons;k-17 - standCnomparisons;k-17 - minSets;k-17 - maxSets;k-17 - avgSets;k-17 - stdSets;k-17 - time;k-9 - minComparisons;k-9 - maxComparisons;k-9 - averageCnomparisons;k-9 - standCnomparisons;k-9 - minSets;k-9 - maxSets;k-9 - avgSets;k-9 - stdSets;k-9 - time;k-25 - minComparisons;k-25 - maxComparisons;k-25 - averageCnomparisons;k-25 - standCnomparisons;k-25 - minSets;k-25 - maxSets;k-25 - avgSets;k-25 - stdSets;k-25 - time
100;0;765;0;530;0;395;0;273;18;0;659;0;427;0;355;0;237;3;0;571;0;415;0;401;0;300;1;0;523;0;381;0;921;0;678;2;0;533;0;405;0;520;0;376;5;0;585;0;382;0;1554;533;500;3
200;0;1558;880;294;0;768;0;549;117;0;1109;87;821;0;610;0;490;4;0;1063;19;835;0;760;0;613;3;0;968;0;783;0;1726;984;457;1;0;1030;1;837;0;949;0;774;3;0;979;0;778;0;2641;1759;432;0
300;0;2204;1039;744;0;1085;14;826;267;0;1678;995;420;0;931;0;748;39;0;1536;990;330;0;1110;151;791;18;0;1385;990;239;0;2598;1959;309;8;0;1474;987;286;0;1430;984;212;18;0;1367;984;214;0;3777;2891;430;13
400;0;2954;1979;480;0;1424;895;246;250;0;2186;1137;757;0;1214;536;468;40;0;2037;998;772;0;1445;991;286;19;0;1878;997;634;0;3528;2450;559;54;0;1939;997;716;0;1809;997;594;18;0;1851;998;592;0;5181;3960;501;18
500;0;3689;2632;499;0;1774;990;429;95;0;2798;1988;430;0;1534;996;275;4;0;2493;1976;288;0;1804;997;601;7;0;2288;1694;357;0;4356;3054;740;3;0;2424;1948;234;0;2271;1507;503;4;0;2197;1492;512;0;6197;4989;640;7
600;0;4354;3081;708;0;2002;999;705;202;0;3284;2227;704;0;1764;993;533;20;0;3055;1991;702;0;2229;1157;766;13;0;2761;1988;527;0;5145;3992;693;8;0;2855;1989;599;0;2706;1986;443;59;0;2694;1986;436;0;7757;6075;790;12
700;2355;5080;3930;545;1030;2368;1472;525;174;1781;3789;2985;438;916;2055;1003;777;46;1591;3501;2895;287;1136;2557;1981;292;60;1456;3191;2104;789;2651;5913;4969;434;24;2272;3351;2645;403;2074;3212;2044;783;35;2477;3173;2033;810;6989;8975;7410;594;36
800;0;5949;4609;563;0;2686;1939;372;123;0;4343;3229;688;0;2334;1658;388;19;0;4018;2993;657;0;2872;1995;597;13;0;3604;2990;338;0;6781;5797;446;81;0;3900;2990;512;0;3673;2959;331;14;0;3527;2991;280;0;9890;8617;609;13
900;2888;6704;5157;658;1247;3119;1992;592;236;2192;4830;3962;476;1123;2563;1983;325;60;1833;4470;3750;372;1280;3221;2179;731;18;1800;4014;2988;726;3471;7529;6342;641;20;3026;4245;3241;686;2744;4000;3000;667;20;1877;3961;2998;664;5347;11096;9803;568;18
1000;0;7371;5929;624;0;3286;2162;713;327;0;5399;4363;605;0;2872;1993;574;51;0;4874;3985;588;0;3561;2955;322;30;0;4428;3882;305;0;8406;7070;728;34;0;4696;3982;419;0;4480;3703;408;20;0;4371;3730;371;0;12517;10911;749;34
1100;3751;7980;6650;588;1558;3647;2803;383;597;2716;5929;4942;532;1410;3125;2040;773;50;3904;5454;4526;496;2752;3913;2998;586;38;2315;4889;3994;559;4441;9181;7983;584;33;2465;5218;4069;751;2399;4888;3996;519;33;3915;4798;3996;486;11101;13653;12089;634;40
1200;0;8902;7196;806;0;3936;2956;528;871;0;6453;5397;657;0;3482;2795;346;53;0;5868;4973;571;0;4241;3171;749;36;0;5348;4525;559;0;10076;8887;717;73;0;5750;4934;442;0;5323;4216;741;35;0;5227;4116;804;0;14876;13248;1017;39
1300;0;9502;7922;770;0;4275;3048;708;1028;0;7149;5941;624;0;3788;2967;419;113;0;6441;5285;691;0;4681;3928;372;54;0;5777;4978;523;0;10846;9634;723;72;0;6122;5005;739;0;5740;4954;460;57;0;5719;4983;426;0;16133;14542;910;71
1400;0;10343;8662;710;0;4662;3545;525;1112;0;7549;6439;608;0;3944;2992;629;182;0;6981;5960;517;0;4990;3994;596;134;0;6241;5063;793;0;11708;10344;706;119;0;6558;5812;440;0;6211;5031;748;92;0;6199;4990;773;0;17478;15678;885;146
1500;5374;10981;9309;698;2166;4859;3908;452;1150;3936;8093;6944;567;2032;4295;3128;736;261;5239;7533;6267;638;3739;5359;4223;685;154;4784;6574;5963;309;8861;12350;11084;649;150;3340;7048;5997;643;3100;6677;5829;388;131;3073;6511;5878;321;8735;18653;16847;775;163
1600;0;12028;9990;780;0;5394;3984;663;1420;0;8635;7464;619;0;4491;3790;374;684;0;7878;6928;521;0;5603;4903;384;556;0;7060;5991;721;0;13443;11979;733;539;0;7531;6685;465;0;7120;5997;650;487;0;6943;5993;600;0;19748;17991;877;574
1700;8584;12497;10713;691;3651;5473;4276;635;1380;4206;9271;7946;599;2120;4939;3963;439;646;5474;8347;7163;681;3869;6006;4991;585;532;5436;7491;6733;369;10396;14086;12848;537;512;3829;8020;6987;567;3587;7577;6561;498;466;5201;7333;6391;584;14895;20841;19203;683;559
1800;9101;13364;11433;707;3861;5871;4783;468;1606;4531;9782;8501;573;2280;5080;3998;653;875;6355;8791;7899;444;4428;6435;5262;654;616;3786;7848;6986;536;7271;14971;13584;619;661;6094;8587;7432;558;5688;7954;6970;499;607;3705;7716;6987;434;10766;22135;20425;797;718
1900;6934;13954;12083;761;2937;6137;4962;568;1699;4799;10248;8943;658;2393;5405;4258;663;1051;4500;9343;8081;709;3147;6719;5893;390;856;6910;8369;7267;660;13004;15861;14302;633;883;6372;8897;7953;477;5917;8349;7217;652;843;6755;8222;7033;749;19014;23701;21571;676;953
2000;0;14789;12776;875;0;6483;5106;707;1840;0;10890;9524;661;0;5623;4829;405;1184;0;9869;8813;548;0;7065;5982;637;997;0;8754;7977;461;0;16557;15128;793;1009;0;9319;8180;754;0;8833;7891;512;903;0;8601;7921;394;0;24634;22758;1004;1098
2100;10870;15265;13491;774;4510;6684;5605;523;1637;5360;11415;9963;651;2764;5877;4961;483;1077;7496;10315;9035;674;5374;7417;6279;639;999;7585;9270;8041;731;14395;17708;15977;592;1016;7628;9804;8919;426;7106;9330;8052;668;896;4341;8971;7991;636;12432;25982;23937;820;1072
2200;11362;16428;14211;787;4785;7244;5903;533;3654;8708;11715;10579;571;4466;6163;5011;693;2115;8884;10763;9761;444;6351;7695;6893;379;1952;8226;9705;8866;344;15545;18404;16804;559;2174;4860;10307;9062;700;4538;9646;8686;474;1891;4563;9409;8526;527;13316;27071;25119;896;2176
2300;0;16994;14846;949;0;7353;6025;695;3694;0;12488;10956;753;0;6408;5357;624;2179;0;11448;9977;732;0;8171;6971;639;2154;0;10161;9002;688;0;19142;17567;836;2125;0;10766;9793;564;0;10133;8952;688;2087;0;9791;8981;543;0;28135;26322;1117;2156
