n;n/2 - minComparisons;n/2 - maxComparisons;n/2 - averageCnomparisons;n/2 - standCnomparisons;n/2 - time;0 - minComparisons;0 - maxComparisons;0 - averageCnomparisons;0 - standCnomparisons;0 - time;n-1 - minComparisons;n-1 - maxComparisons;n-1 - averageCnomparisons;n-1 - standCnomparisons;n-1 - time;n/4 - minComparisons;n/4 - maxComparisons;n/4 - averageCnomparisons;n/4 - standCnomparisons;n/4 - time;n/3 - minComparisons;n/3 - maxComparisons;n/3 - averageCnomparisons;n/3 - standCnomparisons;n/3 - time;2n/3 - minComparisons;2n/3 - maxComparisons;2n/3 - averageCnomparisons;2n/3 - standCnomparisons;2n/3 - time
100;11;11;0;11;135;11;14;0;13;110;13;13;0;13;48;11;11;0;11;39;9;9;0;9;40;13;13;0;13;28
200;13;13;0;13;104;13;16;0;15;111;15;15;0;15;60;13;13;0;13;71;15;15;0;15;54;11;11;0;11;59
300;15;15;0;15;118;15;18;0;16;148;17;17;0;17;65;15;15;0;15;69;17;17;0;17;77;11;11;0;11;71
400;15;15;0;15;116;15;18;0;17;132;17;17;0;17;57;15;15;0;15;58;13;13;0;13;33;17;17;0;17;61
500;15;15;0;15;392;15;18;0;17;352;17;17;0;17;292;15;15;0;15;298;13;13;0;13;289;17;17;0;17;292
600;17;17;0;17;146;17;20;0;18;116;19;19;0;19;42;17;17;0;17;46;13;13;0;13;46;19;19;0;19;49
700;17;17;0;17;89;17;20;0;19;110;19;19;0;19;45;17;17;0;17;85;13;13;0;13;35;15;15;0;15;37
800;17;17;0;17;119;17;20;0;19;132;19;19;0;19;14;17;17;0;17;22;19;19;0;19;47;15;15;0;15;38
900;17;17;0;17;254;17;20;0;19;202;19;19;0;19;137;17;17;0;17;115;19;19;0;19;95;19;19;0;19;76
1000;17;17;0;17;91;17;20;0;19;195;19;19;0;19;56;17;17;0;17;44;19;19;0;19;44;15;15;0;15;35
1100;19;19;0;19;40;19;22;0;20;82;21;21;0;21;20;19;19;0;19;24;19;19;0;19;18;19;19;0;19;16
1200;19;19;0;19;136;20;22;0;20;75;21;21;0;21;24;19;19;0;19;20;21;21;0;21;45;15;15;0;15;36
1300;19;19;0;19;145;20;22;0;20;90;21;21;0;21;19;19;19;0;19;53;19;19;0;19;19;15;15;0;15;40
1400;19;19;0;19;118;19;22;0;21;103;21;21;0;21;40;19;19;0;19;35;17;17;0;17;19;15;15;0;15;33
