n;n/2 - minComparisons;n/2 - maxComparisons;n/2 - averageCnomparisons;n/2 - standCnomparisons;n/2 - time;0 - minComparisons;0 - maxComparisons;0 - averageCnomparisons;0 - standCnomparisons;0 - time;n-1 - minComparisons;n-1 - maxComparisons;n-1 - averageCnomparisons;n-1 - standCnomparisons;n-1 - time;n/4 - minComparisons;n/4 - maxComparisons;n/4 - averageCnomparisons;n/4 - standCnomparisons;n/4 - time;n/3 - minComparisons;n/3 - maxComparisons;n/3 - averageCnomparisons;n/3 - standCnomparisons;n/3 - time;n/2-1 - minComparisons;n/2-1 - maxComparisons;n/2-1 - averageCnomparisons;n/2-1 - standCnomparisons;n/2-1 - time
100;11;11;0;11;127;11;14;0;13;177;13;13;0;13;53;11;11;0;11;62;9;9;0;9;53;1;1;0;1;21
200;13;13;0;13;102;13;16;0;15;108;15;15;0;15;119;13;13;0;13;52;15;15;0;15;39;1;1;0;1;40
300;15;15;0;15;146;15;18;0;16;161;17;17;0;17;87;15;15;0;15;70;17;17;0;17;65;1;1;0;1;50
400;15;15;0;15;149;15;18;0;17;141;17;17;0;17;85;15;15;0;15;72;13;13;0;13;65;1;1;0;1;60
500;15;15;0;15;156;15;18;0;17;101;17;17;0;17;54;15;15;0;15;59;13;13;0;13;44;1;1;0;1;30
600;17;17;0;17;160;17;20;0;18;142;19;19;0;19;64;17;17;0;17;61;13;13;0;13;56;1;1;0;1;76
700;17;17;0;17;216;17;20;0;19;210;19;19;0;19;107;17;17;0;17;108;13;13;0;13;87;1;1;0;1;67
800;17;17;0;17;203;17;20;0;19;156;19;19;0;19;74;17;17;0;17;63;19;19;0;19;49;1;1;0;1;38
900;17;17;0;17;128;17;20;0;19;129;19;19;0;19;42;17;17;0;17;44;19;19;0;19;46;1;1;0;1;30
1000;17;17;0;17;39;17;20;0;19;108;19;19;0;19;35;17;17;0;17;43;19;19;0;19;14;1;1;0;1;12
1100;19;19;0;19;59;19;22;0;20;33;21;21;0;21;39;19;19;0;19;20;19;19;0;19;16;1;1;0;1;13
1200;19;19;0;19;103;20;22;0;20;46;21;21;0;21;42;19;19;0;19;21;21;21;0;21;35;1;1;0;1;45
1300;19;19;0;19;77;19;22;0;20;33;21;21;0;21;16;19;19;0;19;95;19;19;0;19;31;1;1;0;1;29
1400;19;19;0;19;78;19;22;0;21;44;21;21;0;21;17;19;19;0;19;17;17;17;0;17;18;1;1;0;1;50
1500;19;19;0;19;85;19;22;0;21;73;21;21;0;21;53;19;19;0;19;94;19;19;0;19;35;1;1;0;1;9
1600;19;19;0;19;61;20;22;0;21;94;21;21;0;21;27;19;19;0;19;14;17;17;0;17;14;1;1;0;1;10
1700;19;19;0;19;136;20;22;0;21;122;21;21;0;21;28;19;19;0;19;28;21;21;0;21;46;1;1;0;1;30
1800;19;19;0;19;195;19;22;0;21;85;21;21;0;21;59;19;19;0;19;36;21;21;0;21;16;1;1;0;1;28
1900;19;19;0;19;60;19;22;0;21;40;21;21;0;21;15;19;19;0;19;29;21;21;0;21;9;1;1;0;1;54
2000;19;19;0;19;194;19;22;0;21;51;21;21;0;21;16;19;19;0;19;15;17;17;0;17;48;1;1;0;1;18
2100;21;21;0;21;128;21;24;0;22;51;23;23;0;23;12;21;21;0;21;17;21;21;0;21;39;1;1;0;1;38
2200;21;21;0;21;110;21;24;0;22;77;23;23;0;23;19;21;21;0;21;46;21;21;0;21;64;1;1;0;1;51
2300;21;21;0;21;93;21;24;0;22;51;23;23;0;23;21;21;21;0;21;20;17;17;0;17;45;1;1;0;1;39
2400;21;21;0;21;92;22;24;0;22;55;23;23;0;23;34;21;21;0;21;49;17;17;0;17;14;1;1;0;1;14
2500;21;21;0;21;143;21;24;0;22;203;23;23;0;23;25;21;21;0;21;28;17;17;0;17;25;1;1;0;1;13
2600;21;21;0;21;144;22;24;0;22;109;23;23;0;23;39;21;21;0;21;80;17;17;0;17;22;1;1;0;1;23
2700;21;21;0;21;97;21;24;0;23;72;23;23;0;23;54;21;21;0;21;31;21;21;0;21;18;1;1;0;1;11
2800;21;21;0;21;147;22;24;0;23;138;23;23;0;23;29;21;21;0;21;61;17;17;0;17;23;1;1;0;1;23
2900;21;21;0;21;664;22;24;0;23;315;23;23;0;23;182;21;21;0;21;137;17;17;0;17;131;1;1;0;1;81
3000;21;21;0;21;1963;21;24;0;23;842;23;23;0;23;481;21;21;0;21;504;17;17;0;17;474;1;1;0;1;354
3100;21;21;0;21;1810;22;24;0;23;878;23;23;0;23;442;21;21;0;21;450;17;17;0;17;434;1;1;0;1;364
3200;21;21;0;21;2245;21;24;0;23;929;23;23;0;23;557;21;21;0;21;542;23;23;0;23;578;1;1;0;1;412
3300;21;21;0;21;2703;22;24;0;23;1054;23;23;0;23;721;21;21;0;21;684;17;17;0;17;720;1;1;0;1;461
3400;21;21;0;21;2093;21;24;0;23;1062;23;23;0;23;583;21;21;0;21;640;17;17;0;17;473;1;1;0;1;366
3500;21;21;0;21;2140;21;24;0;23;988;23;23;0;23;612;21;21;0;21;597;17;17;0;17;468;1;1;0;1;356
3600;21;21;0;21;1995;22;24;0;23;852;23;23;0;23;507;21;21;0;21;549;23;23;0;23;430;1;1;0;1;310
3700;21;21;0;21;1775;21;24;0;23;828;23;23;0;23;475;21;21;0;21;519;17;17;0;17;421;1;1;0;1;322
3800;21;21;0;21;1932;22;24;0;23;969;23;23;0;23;570;21;21;0;21;469;23;23;0;23;455;1;1;0;1;286
3900;21;21;0;21;1957;21;24;0;23;921;23;23;0;23;464;21;21;0;21;462;17;17;0;17;423;1;1;0;1;262
4000;21;21;0;21;2261;21;24;0;23;926;23;23;0;23;481;21;21;0;21;472;23;23;0;23;469;1;1;0;1;317
