n;n/2 - minComparisons;n/2 - maxComparisons;n/2 - averageCnomparisons;n/2 - standCnomparisons;n/2 - time;0 - minComparisons;0 - maxComparisons;0 - averageCnomparisons;0 - standCnomparisons;0 - time;n-1 - minComparisons;n-1 - maxComparisons;n-1 - averageCnomparisons;n-1 - standCnomparisons;n-1 - time;n/4 - minComparisons;n/4 - maxComparisons;n/4 - averageCnomparisons;n/4 - standCnomparisons;n/4 - time;n/3 - minComparisons;n/3 - maxComparisons;n/3 - averageCnomparisons;n/3 - standCnomparisons;n/3 - time;n/2-1 - minComparisons;n/2-1 - maxComparisons;n/2-1 - averageCnomparisons;n/2-1 - standCnomparisons;n/2-1 - time;log;stala
100;11;11;0;11;95;11;14;0;13;181;13;13;0;13;43;11;11;0;11;48;9;9;0;9;48;1;14;0;11;149;6,64385618977473;2,10720997
200;13;13;0;13;103;13;16;0;15;100;15;15;0;15;61;13;13;0;13;68;15;15;0;15;77;1;16;0;12;91;7,64385618977473;2,09318433
300;15;15;0;15;104;15;18;0;16;133;17;17;0;17;49;15;15;0;15;51;17;17;0;17;38;1;18;0;13;85;8,22881869049588;2,187434269
400;15;15;0;15;162;15;18;0;17;151;17;17;0;17;91;15;15;0;15;84;13;13;0;13;91;1;18;0;14;131;8,64385618977473;2,082403918
500;15;15;0;15;117;15;18;0;17;88;17;17;0;17;47;15;15;0;15;38;13;13;0;13;37;1;17;0;15;70;8,96578428466209;1,89609737
600;17;17;0;17;139;17;20;0;18;120;19;19;0;19;56;17;17;0;17;51;13;13;0;13;60;1;19;0;15;147;9,22881869049588;2,058768369
700;17;17;0;17;120;17;20;0;19;159;19;19;0;19;62;17;17;0;17;62;13;13;0;13;51;1;20;0;16;163;9,45121111183233;2,116130913
800;17;17;0;17;268;17;20;0;19;177;19;19;0;19;123;17;17;0;17;94;19;19;0;19;110;1;20;0;16;124;9,64385618977473;2,073859212
900;17;17;0;17;214;17;20;0;19;135;19;19;0;19;111;17;17;0;17;53;19;19;0;19;62;1;19;0;17;70;9,81378119121704;1,936052947
1000;17;17;0;17;51;18;20;0;19;168;19;19;0;19;25;17;17;0;17;26;19;19;0;19;30;3;20;0;17;90;9,96578428466209;2,006866638
1100;19;19;0;19;86;19;22;0;20;103;21;21;0;21;21;19;19;0;19;22;19;19;0;19;30;3;21;0;17;49;10,103287808412;2,078531306
1200;19;19;0;19;282;19;22;0;20;155;21;21;0;21;53;19;19;0;19;48;21;21;0;21;59;1;21;0;17;80;10,2288186904959;2,053022997
1300;19;19;0;19;238;20;22;0;20;191;21;21;0;21;95;19;19;0;19;96;19;19;0;19;133;3;21;0;18;143;10,3442959079158;2,030104338
1400;19;19;0;19;87;19;22;0;21;93;21;21;0;21;31;19;19;0;19;17;17;17;0;17;47;1;22;0;18;99;10,4512111118323;2,105019195
