n;find_time;find_cmp;
10;5.2E-5;8;
20;3.25E-5;20;
30;9.1E-6;26;
40;3.8E-6;26;
50;6.6E-6;26;
60;8.3E-6;26;
70;5.7E-6;29;
80;2.31E-5;32;
90;4.9E-6;32;
100;5.1E-6;32;
110;4.7E-6;32;
120;7.6E-6;32;
130;8.9E-6;38;
140;7.6E-6;38;
150;5.6E-6;38;
160;5.2E-6;38;
170;5.5E-6;38;
180;6.6E-6;38;
190;7.8E-6;38;
200;7.9E-6;38;
210;2.08E-5;38;
220;5.3E-6;38;
230;4.6E-6;41;
240;4.5E-6;41;
250;7.0E-6;44;
260;8.0E-6;44;
270;8.7E-6;47;
280;8.3E-6;47;
290;7.1E-6;47;
300;6.2E-6;47;
310;6.2E-6;47;
320;5.5E-6;47;
330;2.17E-5;53;
340;8.4E-6;53;
350;9.3E-6;53;
360;7.9E-6;53;
370;7.8E-6;53;
380;6.7E-6;53;
390;1.35E-5;53;
400;8.3E-6;53;
410;2.61E-5;53;
420;5.3E-6;53;
430;2.53E-5;53;
440;7.4E-6;53;
450;1.44E-5;53;
460;1.58E-5;53;
470;8.3E-6;53;
480;8.2E-6;53;
490;3.02E-5;56;
500;7.5E-6;56;
510;2.05E-5;56;
520;1.12E-5;56;
530;9.8E-6;56;
540;8.9E-6;56;
550;8.9E-6;56;
560;7.4E-6;56;
570;3.33E-5;56;
580;1.06E-5;56;
590;8.6E-6;56;
600;7.6E-6;56;
610;6.1E-6;56;
620;6.2E-6;56;
630;7.2E-6;56;
640;1.17E-5;56;
650;8.7E-6;56;
660;7.5E-6;56;
670;7.0E-6;56;
680;6.1E-6;56;
690;5.8E-6;56;
700;2.0E-5;56;
710;3.79E-5;56;
720;7.4E-6;56;
730;5.9E-6;56;
740;5.7E-6;56;
750;2.94E-5;56;
760;1.28E-5;56;
770;9.2E-6;56;
780;1.02E-5;56;
790;7.3E-6;56;
800;1.28E-5;56;
810;1.26E-5;56;
820;8.5E-6;56;
830;7.2E-6;56;
840;1.77E-5;56;
850;3.91E-5;56;
860;1.03E-5;56;
870;9.1E-6;56;
880;3.1E-5;56;
890;2.53E-5;56;
900;7.2E-6;56;
910;1.52E-5;56;
920;8.5E-6;56;
930;2.42E-5;56;
940;6.0E-6;56;
950;5.5E-6;56;
960;1.9E-5;56;
970;6.8E-6;56;
980;6.0E-6;56;
990;5.8E-6;56;
1000;1.03E-5;56;
