n;find_time;find_cmp;
10;1.68E-5;20;
20;1.26E-5;20;
30;1.78E-5;26;
40;6.0E-6;23;
50;5.6E-6;26;
60;6.6E-6;29;
70;8.4E-6;44;
80;1.09E-5;35;
90;7.6E-6;32;
100;1.12E-5;38;
110;1.18E-5;47;
120;1.79E-5;41;
130;6.0E-6;29;
140;7.0E-6;38;
150;1.05E-5;47;
160;2.42E-5;47;
170;3.32E-5;56;
180;1.28E-5;35;
190;1.37E-5;56;
200;1.05E-5;50;
210;7.8E-6;41;
220;1.19E-5;56;
230;9.7E-6;62;
240;1.1E-5;62;
250;2.62E-5;47;
260;1.36E-5;65;
270;2.59E-5;59;
280;1.27E-5;41;
290;1.04E-5;56;
300;1.24E-5;47;
310;1.93E-5;56;
320;8.8E-6;53;
330;8.1E-6;59;
340;5.5E-6;38;
350;8.2E-6;56;
360;7.7E-6;44;
370;7.0E-6;53;
380;2.22E-5;56;
390;2.0E-5;56;
400;1.36E-5;68;
410;9.7E-6;56;
420;1.59E-5;65;
430;1.34E-5;65;
440;1.16E-5;74;
450;8.4E-6;47;
460;8.0E-6;59;
470;8.8E-6;74;
480;1.06E-5;44;
490;1.54E-5;71;
500;3.65E-5;56;
510;8.5E-6;50;
520;7.4E-6;44;
530;8.4E-6;59;
540;1.14E-5;71;
550;3.84E-5;47;
560;9.2E-6;50;
570;1.18E-5;74;
580;9.2E-6;71;
590;1.07E-5;62;
600;1.14E-5;59;
610;1.12E-5;62;
620;2.56E-5;65;
630;1.0E-5;50;
640;1.25E-5;65;
650;8.7E-6;44;
660;1.87E-5;98;
670;1.17E-5;56;
680;9.8E-6;65;
690;1.59E-5;62;
700;1.25E-5;47;
710;1.81E-5;62;
720;1.51E-5;47;
730;2.51E-5;74;
740;1.09E-5;59;
750;2.13E-5;62;
760;2.38E-5;53;
770;9.8E-6;50;
780;1.47E-5;47;
790;1.2E-5;62;
800;1.27E-5;71;
810;1.07E-5;59;
820;1.54E-5;86;
830;5.17E-5;50;
840;1.69E-5;95;
850;8.4E-6;59;
860;1.06E-5;59;
870;9.0E-6;44;
880;1.36E-5;65;
890;1.0E-5;65;
900;8.3E-6;35;
910;1.06E-5;74;
920;1.01E-5;74;
930;8.9E-6;47;
940;3.41E-5;62;
950;1.5E-5;83;
960;1.0E-5;59;
970;8.5E-6;65;
980;1.12E-5;44;
990;2.42E-5;71;
1000;1.07E-5;83;
