n;find_time;find_cmp;
10;1.48E-5;8;
20;6.4E-6;8;
30;6.2E-6;8;
40;6.9E-6;8;
50;3.5E-6;8;
60;3.4E-6;8;
70;3.7E-6;8;
80;3.7E-6;8;
90;4.1E-6;8;
100;6.9E-6;8;
110;7.0E-6;8;
120;7.6E-6;8;
130;4.9E-6;8;
140;5.8E-6;8;
150;3.9E-6;8;
160;3.9E-6;8;
170;3.0E-6;8;
180;4.3E-6;8;
190;5.7E-6;8;
200;3.44E-5;8;
210;5.4E-6;8;
220;3.9E-6;8;
230;5.2E-6;8;
240;7.7E-6;8;
250;6.3E-6;8;
260;5.4E-6;8;
270;4.4E-6;8;
280;4.8E-6;8;
290;6.8E-6;8;
300;1.02E-5;8;
310;5.4E-6;8;
320;5.1E-6;8;
330;3.8E-6;8;
340;8.0E-6;8;
350;6.1E-6;8;
360;5.3E-6;8;
370;4.7E-6;8;
380;5.2E-6;8;
390;4.41E-5;8;
400;7.5E-6;8;
410;5.2E-6;8;
420;5.3E-6;8;
430;8.1E-6;8;
440;1.63E-5;8;
450;6.5E-6;8;
460;6.9E-6;8;
470;7.1E-6;8;
480;1.22E-5;8;
490;1.44E-5;8;
500;5.7E-6;8;
510;5.7E-6;8;
520;6.6E-6;8;
530;6.3E-6;8;
540;5.9E-6;8;
550;6.8E-6;8;
560;6.1E-6;8;
570;5.6E-6;8;
580;7.5E-6;8;
590;6.1E-6;8;
600;7.1E-6;8;
610;5.7E-6;8;
620;6.5E-6;8;
630;5.6E-6;8;
640;5.6E-6;8;
650;5.7E-6;8;
660;7.1E-6;8;
670;6.5E-6;8;
680;6.7E-6;8;
690;4.2E-6;8;
700;3.0E-6;8;
710;5.4E-6;8;
720;5.9E-6;8;
730;6.8E-6;8;
740;4.4E-6;8;
750;6.2E-6;8;
760;8.0E-6;8;
770;7.6E-6;8;
780;6.1E-6;8;
790;6.2E-6;8;
800;8.3E-6;8;
810;7.0E-6;8;
820;6.8E-6;8;
830;2.67E-5;8;
840;3.12E-5;8;
850;9.5E-6;8;
860;2.35E-5;8;
870;5.4E-6;8;
880;6.0E-6;8;
890;8.2E-6;8;
900;1.09E-5;8;
910;6.1E-6;8;
920;6.6E-6;8;
930;1.06E-5;8;
940;6.9E-6;8;
950;1.14E-5;8;
960;6.5E-6;8;
970;5.4E-6;8;
980;4.92E-5;8;
990;6.6E-6;8;
1000;5.2E-6;8;
