n;find_time;find_cmp;
10;2.89E-5;5;
20;3.8E-6;7;
30;5.3E-6;7;
40;3.1E-6;7;
50;3.2E-6;7;
60;1.92E-5;10;
70;3.7E-6;10;
80;5.9E-6;9;
90;2.51E-5;9;
100;5.4E-6;10;
110;5.7E-6;10;
120;6.9E-6;10;
130;5.0E-6;11;
140;5.2E-6;11;
150;6.3E-6;11;
160;9.3E-6;11;
170;3.71E-5;11;
180;6.9E-6;11;
190;1.36E-5;11;
200;8.2E-6;11;
210;1.16E-5;11;
220;7.0E-6;11;
230;8.1E-6;12;
240;7.6E-6;12;
250;8.8E-6;12;
260;5.0E-5;12;
270;1.19E-5;13;
280;9.5E-6;13;
290;8.6E-6;13;
300;1.38E-5;13;
310;9.1E-6;14;
320;3.23E-5;15;
330;1.15E-5;16;
340;2.46E-5;16;
350;1.89E-5;16;
360;1.41E-5;16;
370;2.24E-5;16;
380;1.88E-5;16;
390;7.0E-6;16;
400;1.09E-5;16;
410;3.78E-5;15;
420;1.43E-5;15;
430;1.25E-5;15;
440;8.6E-6;15;
450;3.4E-5;15;
460;6.7E-6;15;
470;7.5E-6;15;
480;7.0E-6;15;
490;1.37E-5;16;
500;1.02E-5;16;
510;8.5E-6;16;
520;8.9E-6;16;
530;3.04E-5;16;
540;8.4E-6;17;
550;8.6E-6;16;
560;1.51E-5;16;
570;1.12E-5;16;
580;8.3E-6;13;
590;3.19E-5;13;
600;8.2E-6;13;
610;6.7E-6;13;
620;6.5E-6;13;
630;1.36E-5;13;
640;8.8E-6;13;
650;8.0E-6;13;
660;7.4E-6;13;
670;8.5E-6;13;
680;1.07E-5;13;
690;1.69E-5;13;
700;1.1E-5;13;
710;1.07E-5;13;
720;1.13E-5;12;
730;1.91E-5;12;
740;1.23E-5;12;
750;1.05E-5;12;
760;1.26E-5;12;
770;3.24E-5;12;
780;1.21E-5;12;
790;1.11E-5;12;
800;9.9E-6;12;
810;9.7E-6;12;
820;1.17E-5;12;
830;6.8E-6;12;
840;5.8E-6;12;
850;4.34E-5;12;
860;1.33E-5;12;
870;9.6E-6;12;
880;1.33E-5;12;
890;1.39E-5;12;
900;7.2E-6;12;
910;7.6E-6;13;
920;7.7E-6;13;
930;7.1E-6;13;
940;3.22E-5;13;
950;8.2E-6;13;
960;5.9E-6;13;
970;5.3E-6;13;
980;1.25E-5;13;
990;1.02E-5;13;
1000;2.63E-5;13;
