n;find_time;find_cmp;
10;2.96E-5;4;
20;3.7E-6;6;
30;3.5E-6;7;
40;3.2E-6;7;
50;1.04E-5;7;
60;6.3E-6;8;
70;7.1E-6;9;
80;7.4E-6;9;
90;5.2E-6;9;
100;6.4E-6;11;
110;1.28E-5;10;
120;5.5E-6;9;
130;8.5E-6;11;
140;6.3E-6;11;
150;1.11E-5;12;
160;2.28E-5;10;
170;7.4E-6;10;
180;1.05E-5;12;
190;1.09E-5;11;
200;9.1E-6;13;
210;4.73E-5;13;
220;9.9E-6;12;
230;1.43E-5;11;
240;1.84E-5;12;
250;1.15E-5;11;
260;1.0E-5;12;
270;2.85E-5;13;
280;1.27E-5;14;
290;6.2E-6;13;
300;9.4E-6;13;
310;2.93E-5;13;
320;7.9E-6;14;
330;1.07E-5;13;
340;9.2E-6;14;
350;4.16E-5;15;
360;6.5E-6;14;
370;6.9E-6;13;
380;1.68E-5;15;
390;1.04E-5;13;
400;8.5E-6;14;
410;9.5E-6;14;
420;9.0E-6;13;
430;7.1E-6;14;
440;8.4E-6;14;
450;5.59E-5;14;
460;4.27E-5;15;
470;1.15E-5;14;
480;9.1E-6;14;
490;8.8E-6;13;
500;8.4E-6;14;
510;6.9E-6;15;
520;2.13E-5;15;
530;8.7E-6;14;
540;7.3E-6;15;
550;2.71E-5;15;
560;8.5E-6;15;
570;1.22E-5;16;
580;3.72E-5;15;
590;1.21E-5;15;
600;7.7E-6;14;
610;8.0E-6;15;
620;2.01E-5;16;
630;1.56E-5;16;
640;1.36E-5;15;
650;1.45E-5;17;
660;1.09E-5;15;
670;1.35E-5;15;
680;1.09E-5;13;
690;8.8E-6;14;
700;8.5E-6;14;
710;2.45E-5;15;
720;1.14E-5;17;
730;9.8E-6;17;
740;9.2E-6;15;
750;1.82E-5;16;
760;1.53E-5;16;
770;1.02E-5;16;
780;7.6E-6;16;
790;7.8E-6;16;
800;2.14E-5;16;
810;1.16E-5;15;
820;8.4E-6;15;
830;8.3E-6;15;
840;1.35E-5;17;
850;2.1E-5;15;
860;7.5E-6;16;
870;7.4E-6;15;
880;7.8E-6;17;
890;9.2E-6;15;
900;1.79E-5;16;
910;1.03E-5;17;
920;9.1E-6;16;
930;9.0E-6;17;
940;9.0E-6;16;
950;1.47E-5;17;
960;1.12E-5;16;
970;1.22E-5;17;
980;9.7E-6;17;
990;7.0E-6;17;
1000;7.0E-6;17;
