n;find_time;find_cmp;
10;1.87E-5;3;
20;3.7E-6;2;
30;4.3E-6;2;
40;2.8E-6;2;
50;2.5E-6;2;
60;3.7E-6;2;
70;4.7E-6;2;
80;4.0E-6;2;
90;4.1E-6;2;
100;4.5E-6;2;
110;4.8E-6;2;
120;3.5E-6;2;
130;6.1E-6;2;
140;5.0E-6;2;
150;4.3E-6;2;
160;6.6E-6;2;
170;4.2E-6;2;
180;1.91E-5;2;
190;5.3E-6;2;
200;5.5E-6;2;
210;9.4E-6;2;
220;1.69E-5;2;
230;5.8E-6;2;
240;4.3E-6;2;
250;4.7E-6;2;
260;4.5E-6;2;
270;4.6E-6;2;
280;5.2E-6;2;
290;9.0E-6;2;
300;8.6E-6;2;
310;5.1E-6;2;
320;4.5E-6;2;
330;5.8E-6;2;
340;3.0E-5;2;
350;4.9E-6;2;
360;1.36E-5;2;
370;8.1E-6;2;
380;4.9E-6;2;
390;5.9E-6;2;
400;5.9E-6;2;
410;1.44E-5;2;
420;1.36E-5;2;
430;9.1E-6;2;
440;7.8E-6;2;
450;6.0E-6;2;
460;5.4E-6;2;
470;7.7E-6;2;
480;1.04E-5;2;
490;4.1E-6;2;
500;4.4E-6;2;
510;3.5E-6;2;
520;3.7E-6;2;
530;5.3E-6;2;
540;5.6E-6;2;
550;7.78E-5;2;
560;5.0E-6;2;
570;5.2E-6;2;
580;3.7E-6;2;
590;6.5E-6;2;
600;5.6E-6;2;
610;4.9E-6;2;
620;4.9E-6;2;
630;3.5E-6;2;
640;6.9E-6;2;
650;7.2E-6;2;
660;5.7E-6;2;
670;3.5E-6;2;
680;3.4E-6;2;
690;1.28E-5;2;
700;7.0E-6;2;
710;4.5E-6;2;
720;4.8E-6;2;
730;4.0E-6;2;
740;5.9E-6;2;
750;6.7E-6;2;
760;5.5E-6;2;
770;5.4E-6;2;
780;1.5E-5;2;
790;8.3E-6;2;
800;6.7E-6;2;
810;4.5E-6;2;
820;1.75E-5;2;
830;5.5E-6;2;
840;4.8E-6;2;
850;3.5E-6;2;
860;4.3E-6;2;
870;4.7E-6;2;
880;4.4E-6;2;
890;4.0E-6;2;
900;6.2E-6;2;
910;6.3E-6;2;
920;4.9E-6;2;
930;1.5E-5;2;
940;4.9E-6;2;
950;5.9E-6;2;
960;5.0E-6;2;
970;7.9E-6;2;
980;5.9E-6;2;
990;6.2E-6;2;
1000;7.8E-6;2;
