n;find_time;find_cmp;
10;3.51E-5;15;
20;4.0E-6;12;
30;3.9E-6;21;
40;4.7E-6;24;
50;5.3E-6;21;
60;3.3E-6;9;
70;5.0E-6;21;
80;6.2E-6;21;
90;2.79E-5;18;
100;7.0E-6;21;
110;7.0E-6;18;
120;6.6E-6;27;
130;4.5E-6;12;
140;4.1E-6;9;
150;5.0E-6;18;
160;6.9E-6;18;
170;2.32E-5;30;
180;6.6E-6;15;
190;5.6E-6;21;
200;5.7E-6;12;
210;2.34E-5;18;
220;1.22E-5;21;
230;7.1E-6;21;
240;8.4E-6;36;
250;6.7E-6;24;
260;7.6E-6;24;
270;9.7E-6;18;
280;1.0E-5;9;
290;1.09E-5;15;
300;6.5E-6;9;
310;9.9E-6;21;
320;8.5E-6;18;
330;1.51E-5;18;
340;7.1E-6;21;
350;5.9E-6;12;
360;6.6E-6;15;
370;8.2E-6;30;
380;2.36E-5;15;
390;9.7E-6;15;
400;1.16E-5;21;
410;5.81E-5;15;
420;8.2E-6;27;
430;7.1E-6;24;
440;8.0E-6;27;
450;6.2E-6;24;
460;9.3E-6;21;
470;8.5E-6;24;
480;8.8E-6;21;
490;7.3E-6;21;
500;9.3E-6;15;
510;6.7E-6;27;
520;4.5E-6;15;
530;4.4E-6;15;
540;6.9E-6;12;
550;6.1E-6;9;
560;8.9E-6;12;
570;1.65E-5;18;
580;1.23E-5;33;
590;6.6E-6;18;
600;7.0E-6;12;
610;4.26E-5;15;
620;7.2E-6;24;
630;4.7E-6;12;
640;1.07E-5;12;
650;9.5E-6;15;
660;5.7E-6;15;
670;7.6E-6;18;
680;7.7E-6;18;
690;9.2E-6;18;
700;9.2E-6;9;
710;1.0E-5;24;
720;7.5E-6;18;
730;8.0E-6;18;
740;2.2E-5;36;
750;1.2E-5;36;
760;3.16E-5;24;
770;7.5E-6;36;
780;5.4E-6;24;
790;6.8E-6;27;
800;5.8E-6;15;
810;8.4E-6;18;
820;8.3E-6;15;
830;1.43E-5;24;
840;6.4E-6;24;
850;5.1E-6;12;
860;9.8E-6;15;
870;5.8E-6;18;
880;5.83E-5;21;
890;8.42E-5;24;
900;3.2E-6;27;
910;2.9E-6;24;
920;3.2E-6;15;
930;3.9E-6;18;
940;7.6E-6;33;
950;5.5E-6;21;
960;3.7E-6;24;
970;3.1E-6;33;
980;3.3E-6;18;
990;3.9E-6;15;
1000;4.1E-6;18;
