n;find_time;find_cmp;
10;1.86E-5;4;
20;3.4E-6;4;
30;2.9E-6;4;
40;3.4E-6;4;
50;7.6E-6;4;
60;2.5E-6;4;
70;1.9E-6;4;
80;3.3E-6;4;
90;3.1E-6;4;
100;3.1E-6;4;
110;3.2E-6;4;
120;4.8E-6;4;
130;1.24E-5;4;
140;5.9E-6;4;
150;4.0E-6;4;
160;3.3E-6;4;
170;4.2E-6;4;
180;6.5E-6;4;
190;4.5E-6;4;
200;4.1E-6;4;
210;4.2E-6;4;
220;4.9E-6;4;
230;5.4E-6;4;
240;3.07E-5;4;
250;6.7E-6;4;
260;6.0E-6;4;
270;8.1E-6;4;
280;1.18E-5;4;
290;5.5E-6;4;
300;4.4E-6;4;
310;4.1E-6;4;
320;4.8E-6;4;
330;6.9E-6;4;
340;9.2E-6;4;
350;3.95E-5;4;
360;8.0E-6;4;
370;7.2E-6;4;
380;5.5E-6;4;
390;6.8E-6;4;
400;5.3E-6;4;
410;9.1E-6;4;
420;3.06E-5;4;
430;7.1E-6;4;
440;5.6E-6;4;
450;4.7E-6;4;
460;4.3E-6;4;
470;5.1E-6;4;
480;6.3E-6;4;
490;6.8E-6;4;
500;6.2E-6;4;
510;1.22E-5;4;
520;7.2E-6;4;
530;5.4E-6;4;
540;7.2E-6;4;
550;5.8E-6;4;
560;5.5E-6;4;
570;3.67E-5;4;
580;5.5E-6;4;
590;4.7E-6;4;
600;7.1E-6;4;
610;6.1E-6;4;
620;6.3E-6;4;
630;7.8E-6;4;
640;5.9E-6;4;
650;5.5E-6;4;
660;4.9E-6;4;
670;4.7E-6;4;
680;6.1E-6;4;
690;4.3E-6;4;
700;3.9E-6;4;
710;8.9E-6;4;
720;1.0E-5;4;
730;7.9E-6;4;
740;1.07E-5;4;
750;5.5E-6;4;
760;5.4E-6;4;
770;6.4E-6;4;
780;7.8E-6;4;
790;1.11E-5;4;
800;9.2E-6;4;
810;1.53E-5;4;
820;6.1E-6;4;
830;8.2E-6;4;
840;6.0E-6;4;
850;2.05E-5;4;
860;7.8E-6;4;
870;6.4E-6;4;
880;4.8E-6;4;
890;6.5E-6;4;
900;1.56E-5;4;
910;6.0E-6;4;
920;5.5E-6;4;
930;2.32E-5;4;
940;1.18E-5;4;
950;6.1E-6;4;
960;6.3E-6;4;
970;1.01E-5;4;
980;2.4E-5;4;
990;2.94E-5;4;
1000;5.9E-6;4;
